feature_id,category,name,surface,kind,tier,external_dep,proof_test,negative_control,status,notes
F-001,Core Pipeline,Agent Teams Module,,feature,unit,none,tests/test_console_script_entrypoints.py::test_console_script_target_module_is_shipped[agentteams-build_team-main],,UNPROVEN,
F-002,Core Pipeline,Four-Tier Agent Architecture,,feature,unit,none,,,UNPROVEN,
F-003,Core Pipeline,Project Description Ingestion,,feature,unit,none,,,UNPROVEN,
F-004,Core Pipeline,Project Directory Scanning,,feature,unit,none,,,UNPROVEN,
F-005,Core Pipeline,Project Type Classification,,feature,unit,none,,,UNPROVEN,
F-006,Core Pipeline,Agent Archetype Selection,,feature,unit,none,,,UNPROVEN,
F-007,Core Pipeline,Team Manifest Generation,,feature,unit,none,,,UNPROVEN,
F-008,Core Pipeline,Template Placeholder Resolution,,feature,unit,none,,,UNPROVEN,
F-009,Core Pipeline,`ingest` Module,,feature,unit,none,tests/test_ingest.py::test_parse_dependency_manifests_node_modules_excluded,,UNPROVEN,
F-010,Core Pipeline,`analyze` Module,,feature,unit,none,,,UNPROVEN,
F-011,Core Pipeline,`render` Module,,feature,unit,none,,,UNPROVEN,
F-012,Core Pipeline,`emit` Module,,feature,unit,none,,,UNPROVEN,
F-013,Core Pipeline,`drift` Module,,feature,unit,none,,,UNPROVEN,
F-014,Core Pipeline,`scan` Module,,feature,unit,none,,,UNPROVEN,
F-015,Core Pipeline,`audit` Module,,feature,unit,none,,,UNPROVEN,
F-016,Core Pipeline,`remediate` Module,,feature,unit,none,,,UNPROVEN,
F-017,Core Pipeline,`graph` Module,,feature,unit,none,,,UNPROVEN,
F-018,Core Pipeline,Mermaid Output,,feature,unit,none,,,UNPROVEN,
F-019,Core Pipeline,DOT Output,,feature,unit,none,,,UNPROVEN,
F-020,Core Pipeline,JSON Output,,feature,unit,none,,,UNPROVEN,
F-021,Core Pipeline,Markdown Output,,feature,unit,none,,,UNPROVEN,
F-022,Core Pipeline,`copilot-vscode` Adapter,,feature,unit,none,,,UNPROVEN,
F-023,Core Pipeline,`copilot-cli` Adapter,,feature,unit,none,,,UNPROVEN,
F-024,Core Pipeline,`claude` Adapter,,feature,unit,none,,,UNPROVEN,
F-025,Core Pipeline,Framework-Agnostic Interface,,feature,unit,none,,,UNPROVEN,
F-026,Core Pipeline,`agentteams` / `build_team.py` CLI,,feature,unit,none,,,UNPROVEN,
F-027,Core Pipeline,`--description`,,feature,unit,none,,,UNPROVEN,
F-028,Core Pipeline,`--project`,,feature,unit,none,,,UNPROVEN,
F-029,Core Pipeline,`--framework`,,feature,unit,none,,,UNPROVEN,
F-030,Core Pipeline,`--dry-run`,,feature,unit,none,,,UNPROVEN,
F-031,Core Pipeline,`--overwrite`,,feature,unit,none,,,UNPROVEN,
F-032,Core Pipeline,`--self`,,feature,unit,none,,,UNPROVEN,
F-033,Core Pipeline,`--post-audit`,,feature,unit,none,,,UNPROVEN,
F-034,Core Pipeline,11 Universal Governance Templates,,feature,unit,none,,,UNPROVEN,
F-035,Core Pipeline,20 Domain Templates,,feature,unit,none,,,UNPROVEN,
F-036,Core Pipeline,3 Builder Templates,,feature,unit,none,tests/test_agent_file_front_matter_first.py::test_the_builder_templates_are_all_present,,UNPROVEN,
F-037,Core Pipeline,6 Workstream Expert Templates,,feature,unit,none,,,UNPROVEN,
F-038,Core Pipeline,`project-description.schema.json`,,feature,unit,none,,,UNPROVEN,
F-039,Core Pipeline,`team-manifest.schema.json`,,feature,unit,none,,,UNPROVEN,
F-040,Enrichment,`enrich` Package,,feature,unit,none,,,UNPROVEN,
F-041,Enrichment,Rule-Based Fill Generation,,feature,unit,none,,,UNPROVEN,
F-042,Enrichment,Jupyter Notebook Scanning,,feature,unit,none,,,UNPROVEN,
F-043,Enrichment,Tool Catalog Integration,,feature,unit,none,,,UNPROVEN,
F-044,Enrichment,LLM Model Detection,,feature,unit,none,,,UNPROVEN,
F-045,Enrichment,Enrichment Coverage Audit,,feature,unit,none,,,UNPROVEN,
F-046,Enrichment,Dynamic Tool Detection,,feature,unit,none,,,UNPROVEN,
F-047,Enrichment,Auto-PyPI Metadata Fetch,,feature,unit,none,,,UNPROVEN,
F-048,Enrichment,Agent Integration Audit,,feature,unit,none,,,UNPROVEN,
F-049,Enrichment,Agent Knowledge Updates,,feature,unit,none,,,UNPROVEN,
F-050,Enrichment,`--enrich` Flag,,feature,unit,none,tests/test_analyze.py::test_build_manifest_known_catalog_tool_resolves_without_enrich_flag,,UNPROVEN,
F-051,Section Fencing & Safe Merges,`AGENTTEAMS:BEGIN/END` Fence Markers,,feature,unit,none,,,UNPROVEN,"seed skipped, test id(s) not collectible: ['tests/test_fences.py::test_merge_replaces_only_fenced_region', 'tests/test_fences.py::test_unfenced_file_is_skipped']"
F-052,Section Fencing & Safe Merges,`FENCE-CONVENTIONS.md`,,feature,unit,none,tests/test_canonical_template_root.py::test_template_authoring_docs_live_with_the_templates_they_describe[FENCE-CONVENTIONS.md],,UNPROVEN,
F-053,Section Fencing & Safe Merges,Non-Destructive Merge Mode (`--merge`),,feature,unit,none,,,UNPROVEN,
F-054,Section Fencing & Safe Merges,`--update --merge` Safety Fix,,feature,unit,none,,,UNPROVEN,
F-055,Section Fencing & Safe Merges,11 Instrumented Templates,,feature,unit,none,,,UNPROVEN,
F-056,Security Intelligence,`security_refs` Module,,feature,unit,none,,,UNPROVEN,
F-057,Security Intelligence,Live CVE/CISA-KEV/EPSS Data,,feature,unit,none,,,UNPROVEN,
F-058,Security Intelligence,`--security-offline` Flag,,feature,unit,none,,,UNPROVEN,
F-059,Security Intelligence,`--security-max-items` Flag,,feature,unit,none,,,UNPROVEN,
F-060,Security Intelligence,`--security-no-nvd` Flag,,feature,unit,none,tests/test_build_team_security_gates.py::test_verify_waivers_flags_bad_signature,,UNPROVEN,
F-061,Security Intelligence,Non-Deterministic Snapshot Exclusion,,feature,unit,none,,,UNPROVEN,
F-062,Migration & Update,`--migrate` Flag,,feature,unit,none,tests/test_migrate.py::test_from_migrate_is_not_a_cli_flag,,UNPROVEN,
F-063,Migration & Update,`--revert-migration` Flag,,feature,unit,none,,,UNPROVEN,
F-064,Migration & Update,`--update --merge` Canonical Mode,,feature,unit,none,,,UNPROVEN,
F-065,Migration & Update,`--prune` Mode,,feature,unit,none,,,UNPROVEN,
